#Person1#'s getting a check-up, and Doctor #Person2# advises him to have one every year.	get a check-up
#Person1#'s looking for a set of keys and asks for #Person2#'s help to find them.	find keys
#Person1#'s angry because #Person2# didn't tell #Person1# that #Person2# had a girlfriend and would marry her.	have a girlfriend
#Person1# gives Aims a birthday present and Aims loves it.	birthday
#Person1# tells #Person2# the fare of taking a taxi.	pay the fare
#Person1# shows a basic computer package to #Person2#.	a job application
#Person1# has an interview with a visa official.	a computer package
#Person1# asks #Person2# to do a favor.	a visa
#Person2# thinks the picture is lovely and asks #Person1# to give a slide and a wallet-size print.	do a favor
#Person2# suggests #Person1# use a spam filter to reject #Person3#'s pornographic stuff.	a copy
#Person1# and #Person2# are talking about their families' ages.	sexual harrassment
#Person2# likes dance music while #Person1# prefers classical music.	age
#Person1# asks #Person2# whether she plans on having more babies.	Valentine's Day
#Person1# and #Person2# are talking about different choices of ice cream.	triplets
#Person1# invites #Person2# to work together, and #Person2# agrees.	ice cream
#Person1#'s getting dressed in the car, and #Person2# warns her not.	work together
#Person1# asks #Person2# what they need to do when they check in at the Air China's counter.	get dressed
#Person1# calls #Person2# because #Person1# needs a mover.	check in
#Person2# orders a glass of lemonade, barbeque wings, and baby-back ribs with the help of #Person1#.	 agreement
#Person1# is making some eggs for #Person2#	ask for the way
#Person1# drive #Person2# to the address of Grand Hotel provided by #Person2#.	change room
#Person1# takes a picture of #Person2# who's a policeman to show #Person1#'s children.	arrangement
The hotel is fully booked and #Person1# offers #Person2# the information about hotels nearby.	careful arrangement
#Person1# recommends #Person2# going to the Sunset Hotel to find vacant rooms as #Person1#'s hotel is full.	ask way
#Person2# tells #Person1# that #Person2# has applied for a student visa to the United States.	computer problem advice
#Person1# and #Person2# talk about the accounting process.	country cultural difference
#Person1# invites #Person2# to join her travel to Xi'an.	country differences
#Person1# serves #Person2# to borrow movies and tells #Person2# the price and when to return them.	fruit
#Person1# delivers a parcel for Lee.	car rental
#Person2# apologizes to #Person1# for the flight delay and arranges rooms for every passenger.	smile
#Person2# tells #Person1# that #Person1# may have to stay in the airport hotel tonight because the planes are delayed.	face expression
Both #Person1# and #Person2# want to pay for a meal.	facial expression
#Person1# wants to repay #Person2# while #Person2# wants to do the same.	sales review
#Person1# and #Person2# argue to repay for a meal but no one succeeds.	success sales
#Person1# wants to redecorate the kitchen but #Person2# thinks it unnecessary.	tipping
#Person1# wants to renovate the kitchen to make it more modern but #Person2# doesn't.	tipping in china
#Person1# and Sterling think their new professor is brilliant but absent-minded.	tipping in China
#Person2# asks #Person1# to bring #Person1#'s husband to talk about #Person1#'s test results.	make a move
Informed of the cost and duration by #Person2#, #Person1# chooses a cheaper way of mailing which takes more time.	 phone call
#Person2# offers #Person1# two ways to send the package and #Person1# chooses the cheaper one.	mistaken identity
#Person1# and #Person2# are going to the wedding in 15 minutes, but #Person1#'s cellphone was left in the bakery.	discuss Obama
#Person1# is a tourist from America and has a chat with #Person2#.	president nomination
#Person2# plans to take a business class in the summer vacation while #Person1# prefers to relax.	ATM using
#Person1# and #Person2# share their plan for summer vacation and their visions of the future.	find a memo
#Person2# is going to take a business class and work part-time during summer vacation.	office procedures memo
#Person2# tells #Person1# about #Person2#'s changes and improvements after working in the same company for six years.	picinic invitation
#Person1# has been working for a company for six years, and #Person2# thinks #Person2#'s ready for promotion.	table etiquette
#Person2# has worked for a company for 6 years.	Chinese feast
It's #Person1#'s first time to China and #Person1# wants some Chinese cuisine.	film preference
#Person1# is starving and wants to have authentic Chinese cuisine so #Person2# recommends some.	political party
#Person1# will accelerate the slow delivery to address #Person2# concerns, and they reach an agreement right away.	mistakes in goods
#Person1# broke a reading lamp and #Person2# will replace a new one.	damaged delivery
#Person1# first introduces the 2006 fiscal year marketing plan then analyzes their performance and explains with the sale graph.	robbery witness
#Person2# is going to travel around Europe and will buy #Person1# a souvenir.	dinner discussion
#Person2# fails to hold #Person2#'s reservation for a mid-size vehicle.	diet changing
#Person1# is angry because he makes a reservation for a mid-size vehicle but #Person2# doesn't keep a car for him.	register for class
#Person1# asks for mom's permission to play card games and promises not to make noise.	class registration
#Person2# allows #Person1# to play card games without making any noise.	share an umbrella
#Person1# tells #Person2# about his weekly meeting schedule.	sharing in the rain
#Person1# is telling #Person2# his meeting arrangements this week.	umbrella-sharing
#Person1# and #Person2# are talking about a map of the world.	a car ride
#Person2# is asking #Person1# to change #Person2#'s room to a non-smoking room.	fire time
#Person2# wants to change to a non-smoking room.	payment method
#Person1# asks #Person2# to be careful and then sees the workmen walking across the wet cement.	payment
#Person1# and #Person2# had a good time together.	wash the car
#Person1# and #Person2# had a good time.	car wash package
#Person2# works overtime every day and doesn't get enough paid.	weight machine
#Person1# found that her husband was cheating on her.	the next job
The doctor suggested #Person2# clean up the diet.	puppies' care
#Person2# will be on a diet for #Person2#'s health.	puppies's care
#Person2# asks #Person1# to stay but #Person1# insists on leaving.	money borrowing
#Person1# asks #Person2# how to use the library.	charity organization
#Person1# wants to use the library.	charity organization experience
#Person1# stops #Person2# from taking photos in the museum.	organization decision
#Person1# asks #Person2# not to take pictures and takes his phone temporarily	hotel food
#Person2# asks #Person1# for information for requesting a loan.	Chinese cuisine
#Person2# wants to know about requesting a loan.	attend a wedding
#Person1# tells #Person1# her presentation was very successful because she got help from several colleagues and an economic expert.	atteding wedding
#Person1# will stop by #Person1#'s house tomorrow, and #Person1# will try to get up to join his running.	eating dessert
#Person1# agrees to have lunch with #Person1# on Thursday.	buy present
#Person1# and #Person2# will have lunch together.	selecting gift
#Person1# accepts #Person1#'s invitation to lunch on Thursday.	sport shoes
#Person1# is taking a date to a restaurant.	Jordan shoes
#Person1# pays and leaves a tip but #Person2# politely refuses.	phased retirement
People in #Person2#'s country like football, basketball, tennis, and swimming.	type
#Person2# wants to make a reservation for a round trip flight this month.	woman
#Person2# is asking #Person1# to make a flight reservation.	choosing woman standards
#Person1# would go to Disney World with #Person1#'s grandmother.	heavy storm
#Person1#'s grandmother will take #Person1# to Disney World.	stormy weather
#Person1#'s grandmother will take #Person1# to Disney World.	share
#Person2# would love to go to Australia.	enjoy oneself
#Person2# would like to go to Australia.	sharing time complaint
#Person1# comes across #Person1# on the way to the gym, and they stop to talk about exercise habits.	new school life
#Person1# and #Person2# talk about #Person2#'s experience.	basketball practice
#Person1# makes drinks for #Person2# at a bar.	weekend camping trip
#Person2# starts with an aperitif and asks about signature drinks.	schedule checking
#Person1# invites #Person2# for lunch and they talk about bungee jumping #Person1# tried.	pregnant
#Person1# wants some online information about the Normandy Landing, #Person2# teaches #Person1# how to google it.	teenage daughter
#Person2# helps #Person1# find a website about Normandy Landing and suggests reading a book for details.	decide about college
#Person1# wants to know about the Normandy Landing.	children raising
#Person1# teaches #Person2# how to use the training machine and suggests starting working small reps if #Person2# wants a good physique.	lose job
#Person2# helps #Person1# to buy things from the vending machine.	hotel booking
#Person2# has a girlfriend in Thailand.	flat hunting
#Person1# is visiting #Person2#'s new suite and surprisingly finds she's redecorated it.	blame each other
#Person2# gives #Person2# a rigorous daily exercise schedule, and #Person2# finds it torturing.	delayed order
#Person2# has made a harsh daily exercise schedule for Bill.	computer order
#Person2# gives #Person2# his daily exercise schedule.	complaint call
Marquet offers #Person1# adivce on what courses to take.	development of newspapers
Marquet suggests #Person1# take a good introductory course for non-science majors.	newspaper founding time
#Person1# chooses a green-life-related project because he wants to see what he could do in his own life.	send an email
#Person1# complains to #Person2# that Christmas has made #Person1# busier.	send an e-mail
#Person1# thinks selling gifts for kids is such an unpleasant job before Christmas.	a nice weekend
#Person1# doesn't eat cakes and sandwiches at her birthday party to avoid being allergic.	food recommendation
